URL,Unique Visitors,Section,Product
/cpa/resources/pop-quiz/far-questions/,2305,Resources,CPA
/cfa/resources/exam-dates-and-schedule/,2274,Resources,CFA
/frm/resources/exam-dates-and-registration/,1866,Resources,FRM
/cfa/resources/2018-cfa-exam-curriculum-changes/,1811,Resources,CFA
/cma/resources/procedures-registration-guide/,1759,Resources,CMA
/cma/resources/pop-quiz/,1276,Resources,CMA
/blog/cpa/hours-to-study-for-the-cpa-exam/,1057,Blog,CPA
/cpa/resources/state-requirements/,1009,Resources,CPA
/blog/cpa/international-student-cpa-how-to/,938,Blog,CPA
/cpa/resources/pop-quiz/bec-questions/,827,Resources,CPA
/cpa/resources/cpa-exam-updates/,802,Resources,CPA
/blog/cpa/pass-cpa-exam-3-months/,801,Blog,CPA
/cfa/resources/2017-cfa-exam-curriculum-changes/,717,Resources,CFA
/blog/cma/how-to-pass-cma-exam/,651,Blog,CMA
/cpa/resources/pop-quiz/aud-questions/,640,Resources,CPA
/cpa/resources/pop-quiz/,639,Resources,CPA
/blog/cfa/cfa-exam-cram-session-tips/,612,Blog,CFA
/frm/resources/why-become-a-certified-frm/,586,Resources,FRM
/cfa/resources/how-to-become-a-cfa/,582,Resources,CFA
/blog/cia/internal-auditing-career-overview/,577,Blog,CIA
/cma/resources/pop-quiz/part-1-answers/,552,Resources,CMA
/cpa/resources/pop-quiz/reg-questions/,517,Resources,CPA
/cma/resources/certification-handbook/,499,Resources,CMA
/cfa/resources/why-become-a-cfa/,453,Resources,CFA
/cpa/resources/webinar-2018-exam-content/,440,Resources,CPA
/blog/cpa/5-big-mistakes-cpa-exam-candidates-make-every-day/,438,Blog,CPA
/frm/resources/frm-exam-day/,436,Resources,FRM
/blog/cma/do-with-cma-certification/,424,Blog,CMA
/cpa/resources/faqs/,414,Resources,CPA
/blog/cma/interpret-cma-exam-score/,384,Blog,CMA
/blog/cpa/top-10-cities-accountants/,381,Blog,CPA
/cia/resources/exam-dates-and-registration/,380,Resources,CIA
/frm/resources/frm-vs-cfa/,364,Resources,FRM
/blog/cma/cgma-vs-cma-which-is-right-for-you/,354,Blog,CMA
/blog/cma/cma-exam-procedures-registration-guide/,280,Blog,CMA
/cpa/resources/,270,Resources,CPA
/cfa/resources/program-fees/,262,Resources,CFA
/cia/resources/exam-fees/,251,Resources,CIA
/blog/cpa/cpa-exam-day/,250,Blog,CPA
/blog/cpa/,245,Blog,CPA
/cpa/resources/international/,244,Resources,CPA
/cpa/resources/#group-4,227,Resources,CPA
/cmt/resources/how-to-become-a-chartered-market-technician-cmt/,223,Resources,CMT
/blog/cpa/cpa-salary-breakdown/,217,Blog,CPA
/frm/resources/program-fees/,209,Resources,FRM
/cfa/resources/exam-testing-centers/,201,Resources,CFA
/blog/cia/top-10-study-tips-for-the-cia-exam/,190,Blog,CIA
/cfa/resources/baii-calculator-guide/,169,Resources,CFA
/blog/frm/the-frm-exam-results-are-out/,168,Blog,FRM
/cma/resources/pop-quiz/part-2-answers/,160,Resources,CMA
/cmt/resources/exam-dates-and-schedule/,158,Resources,CMT
/cpa/resources/#group-1,147,Resources,CPA
/blog/cpa/11-reasons-everyone-wants-become-cpa/,143,Blog,CPA
/cfa/resources/prerequisite-economics-readings/,138,Resources,CFA
/cfa/resources/free-online-virtual-class/,126,Resources,CFA
/blog/cpa/17-year-old-passed-cpa-exam/,120,Blog,CPA
/cpa/resources/2017-cpa-exam-changes/,119,Resources,CPA
